"M$","","Microsoft Corporation","Rадост: <mark>M$</mark> в Skype"
"айфон","ифон","iPhone","Следващия унреал като излезе за <mark>айфон</mark> тряа да направиме детмач - ше те смачкам!"
"апач","","Apache HTTP Server","В Уиндоус дори да направиш виртуален хост на <mark>Апач</mark> е мъка, а да му инсталираш сертификат е чудо."
"аутпут","","Текст или символи, които са резултат от изпълнието на софтуерна програма (от английски \"output\")","Та нали точно при ASP.NET MVC имаш пълен контрол върху <mark>аутпута</mark>?"
"БД","ДБ","База с данни","Предполагам, че пичовете още пишат на ФоксПро като за <mark>БД</mark> използват любимите на няколко поколения счетоводители dbf файлове. "
"бекграунд","","Фон (от английски \"background\")",""
"билд","","Компилиран програмен код (от английски \"build\")","За 2К не може и калфа да намериш, дето поне няма да осере <mark>билда</mark>, ако и да не върши работа."
"бордър","","Рамката на HTML или друг елемент (от английски \"border\")","За това паравя <mark>бордъра</mark> без прозрачност, вместо това още в photoshop слагам фона за да се намести към страницата."
"гений","генийче","Програмист, който претендира, че е успял да разреши сложен софтуерен проблем","Ако детето ти има проблеми, тук може да го изпратиш в специализирано училище напълно безплатно, и го изкарват оттам <mark>генийче</mark> доказано."
"говедо","","Всеки, когото са хванали да свърши нещо","И да не те ръчкат, пак на <mark>говедо</mark> се обаждаш, неспасяем си!"
"дебъгвам","","Отстранявам грешки от програмен код","На мен половината ми работа е да <mark>дебъгвам</mark>, защото програмата или сайта ползват външни, неконтролируеми услуги или работя върху база данни, която някой идиот е създал."
"джавар","","Програмист, който използва предимно програмният език Java","Аха, ясно...започвам да схващам...не си <mark>джавар</mark>...не си програмист...не си и <kref idref=\"кюейка\">QA</kref>...Ми къф си ти тогава бе?"
"джаварник","жаварник","Отдел в IT фирма, където се използва основно програмният език Java","Който иска да работи с натоварени проекти - те ти <mark>жаварник</mark>. "
"джамски","","на Microsoft Corporation","Портването на <mark>джамски</mark> неща за линукс (и наопъки) е тривиално. "
"джамци","","Microsoft Corporation","Тва не му ли трябваше <mark>джамци</mark> 8.1 ?"
"джуниър","","Младши програмист","Ти виждал ли си <mark>джуниър</mark> в длъжностна харакретистика, че аз нещо не съм. Виждал съм как повишават в <kref idref=\"синиър\">синиър</kref> без да пипнат заплатата 1 стинка. Да им ... "
"добитък","","Персонал на IT фирма","То за глава <mark>добитък</mark> не е ли 2 заплати бонуса за такива като теб? (въпрос към HR специалист)"
